Name,Date,First,High,Low,Close,Value,Volume,Open,Last
S*HiWeb,20200728,42760,42760,41160,41470,8.19189E+11,19753307,43320,41160
S*HiWeb,20200727,43500,45670,41340,43320,1.56886E+12,36215229,40880,42700
S*HiWeb,20200725,40880,40880,40600,40880,1.14403E+12,27987542,38940,40880
S*HiWeb,20200722,38500,39000,38500,38940,5.86091E+11,15049493,37150,39000
S*HiWeb,20200721,36760,37810,35010,37150,1.45296E+12,39105352,36010,36980
S*HiWeb,20200720,34640,36540,33500,36010,1.82574E+12,50697499,34800,36250
S*HiWeb,20200719,35180,35180,33000,34800,1.41207E+12,40580616,33510,33830
S*HiWeb,20200718,33510,33510,33510,33510,2.97762E+11,8885777,31920,33510
S*HiWeb,20200715,31990,31990,31200,31920,7.97018E+11,24972762,30470,31990
S*HiWeb,20200714,30510,30510,29750,30470,1.07506E+12,35278706,29060,30510
S*HiWeb,20200713,28500,29780,27790,29060,9.91E+11,34103489,28370,29780
S*HiWeb,20200712,28420,28420,27470,28370,5.23378E+11,18448527,27070,28370
S*HiWeb,20200711,25550,28230,25550,27070,1.07823E+12,39827648,26890,28230
S*HiWeb,20200708,27210,27500,26740,26890,5.0436E+11,18756648,28140,26740
S*HiWeb,20200707,29400,29400,27770,28140,1.13699E+12,40401432,29230,27770
S*HiWeb,20200706,29300,29300,28700,29230,1.50113E+12,51348751,27910,29300
S*HiWeb,20200705,26610,29050,26600,27910,9.53088E+11,34151634,27750,27910
S*HiWeb,20200704,29840,29840,27130,27750,9.58329E+11,34539500,28550,27130
S*HiWeb,20200701,28710,28710,27570,28550,9.8271E+11,34423656,27350,28700
S*HiWeb,20200630,27170,27420,27100,27350,3.01081E+11,11007633,26120,27420
S*HiWeb,20200629,26000,26500,26000,26120,1.00956E+12,38656719,27360,26230
S*HiWeb,20200628,28400,28440,27210,27360,9.21067E+11,33663431,28640,27210
S*HiWeb,20200627,28570,29510,27850,28640,8.54444E+11,29836815,28780,28000
S*HiWeb,20200624,28500,29560,27910,28780,1.09702E+12,38112181,29250,28510
S*HiWeb,20200623,29500,31000,28170,29250,1.5183E+12,51900153,29650,28170
S*HiWeb,20200622,29700,29700,28800,29650,1.04882E+12,35367826,28290,29700
S*HiWeb,20200621,28400,28570,27250,28290,6.53309E+11,23090339,27210,28570
S*HiWeb,20200620,27210,27210,27210,27210,3.54141E+11,13015123,25920,27210
S*HiWeb,20200616,25050,26300,24450,25920,7.17747E+11,27688151,25050,26300
S*HiWeb,20200615,26000,26800,24500,25050,8.9304E+11,35643354,25780,24850
S*HiWeb,20200614,26900,26900,25600,25780,8.41035E+11,32628074,26940,26110
S*HiWeb,20200613,27000,27600,26330,26940,5.70696E+11,21182007,26331,26680
S*HiWeb,20200610,25800,26452,25123,26331,8.81618E+11,33481757,25193,26452
S*HiWeb,20200609,25550,26350,24870,25193,9.32743E+11,37023813,26178,25198
S*HiWeb,20200608,28686,28686,25954,26178,6.94325E+11,26523245,27320,25954
S*HiWeb,20200607,27800,28000,26848,27556,9.61679E+11,34899192,26848,27170
S*HiWeb,20200606,26299,27613,25100,26848,1.02352E+12,38123524,23637,27335
S*HiWeb,20200602,23653,23653,22890,23637,3.43095E+11,14515069,22527,23653
S*HiWeb,20200601,22300,22672,21590,22527,4.36728E+11,19387015,21593,22672
S*HiWeb,20200531,22150,22150,20400,21593,6.34894E+11,29402401,21096,21599
S*HiWeb,20200530,21096,21096,21096,21096,1.40472E+11,6658711,20092,21096
S*HiWeb,20200527,18800,20606,18800,20092,4.60625E+11,22925723,19625,20606
S*HiWeb,20200526,19693,20469,19451,19625,1.6123E+11,8215472,20440,19451
S*HiWeb,20200523,21300,21300,20406,20474,3.81323E+11,18624480,21480,20469
S*HiWeb,20200520,22062,22480,20959,21480,7.18653E+11,33456610,23223,21900
S*HiWeb,20200519,23830,23830,22022,23223,8.43058E+11,36302389,22696,22293
S*HiWeb,20200518,22714,22714,22004,22696,5.63857E+11,24844055,21633,22714
S*HiWeb,20200517,21261,21715,20501,21633,9.06098E+11,41885528,20681,21715
S*HiWeb,20200516,20050,21132,19706,20681,1.17353E+12,56743609,20126,21132
S*HiWeb,20200513,19823,21499,19823,20126,1.6246E+12,80719741,20866,19835
S*HiWeb,20200512,20866,20866,20866,20866,1.96023E+11,9394368,21964,20866
S*HiWeb,20200511,21964,21964,21964,21964,2.21756E+11,10096323,23119,21964
S*HiWeb,20200510,24300,24300,22764,23119,6.2823E+11,27173177,23962,22764
S*HiWeb,20200509,23300,24405,23202,23962,1.26063E+12,52609379,23243,23800
S*HiWeb,20200506,23243,23243,23243,23243,3.03637E+11,13063585,24466,23243
S*HiWeb,20200505,25000,25555,23585,24466,4.86945E+11,19902649,24826,23585
S*HiWeb,20200504,23700,24885,23700,24826,6.62502E+11,26686084,24515,24885
S*HiWeb,20200503,24524,24524,24221,24515,1.51704E+12,61881739,23357,24524
S*HiWeb,20200502,23300,23424,22800,23357,6.75748E+11,28930996,22309,23424
S*HiWeb,20200429,21580,22513,21300,22309,9.4006E+11,42138947,21441,22497
S*HiWeb,20200428,21890,22009,20994,21441,9.49852E+11,44301747,21909,21140
S*HiWeb,20200427,21700,22498,21000,21909,8.53948E+11,38977851,21564,21889
S*HiWeb,20200426,21835,21835,19990,21564,2.0496E+12,95046827,20796,21835
S*HiWeb,20200425,20796,20796,20796,20796,1.24914E+11,6006639,19806,20796
